Year,Deaths,Vehicle miles travelled (billions),Population
1900,36,,76094000
1901,54,,77584000
1902,79,,79163000
1903,117,,80632000
1904,172,,82166000
1905,252,,83822000
1906,338,,85450000
1907,581,,87008000
1908,751,,88710000
1909,1174,,90490000
1910,1599,,92407000
1911,2043,,93863000
1912,2968,,95335000
1913,4079,,97225000
1914,4468,,99111000
1915,6779,,100546000
1916,7766,,101961000
1917,9630,,103268000
1918,10390,,103208000
1919,10896,,104514000
1920,12155,,106461000
1921,13253,55.03,108538000
1922,14859,67.7,110049000
1923,17870,85,111947000
1924,18400,104.84,114109000
1925,20771,122.35,115829000
1926,22194,140.74,117397000
1927,24470,158.45,119035000
1928,26557,172.86,120509000
1929,29592,197.72,121767000
1930,31204,206.32,123076741
1931,31963,216.15,124039648
1932,27979,200.52,124840471
1933,29746,200.64,125578763
1934,34240,215.56,126373773
1935,34494,228.57,127250232
1936,36126,252.13,128053180
1937,37819,270.11,128824829
1938,31083,271.18,129824939
1939,30895,285.4,130879718
1940,32914,302.19,132122446
1941,38142,333.61,133402471
1942,27007,268.22,134859553
1943,22727,208.19,136739353
1944,23165,212.71,138397345
1945,26785,250.17,139928165
1946,31874,340.88,141388566
1947,31193,370.89,144126071
1948,30775,397.96,146631302
1949,30246,424.46,149188130
1950,33186,458.25,152271417
1951,35309,491.09,154877889
1952,36088,513.58,157552740
1953,36190,544.43,160184192
1954,33890,561.96,163025854
1955,36688,605.65,165931202
1956,37965,627.84,168903031
1957,36932,647,171984130
1958,35331,664.65,174881904
1959,36223,700.48,177829628
1960,36399,718.76,180671158
1961,36285,737.42,183691481
1962,38980,766.73,186537737
1963,41723,805.25,189241798
1964,45645,846.3,191888791
1965,47089,887.81,194302963
1966,50894,925.9,196560338
1967,50724,964.01,198712056
1968,52725,1015.87,200706052
1969,53543,1061.79,202676946
1970,52627,1109.72,205052174
1971,52542,1178.81,207660677
1972,54589,1259.79,209896021
1973,54052,1313.11,211908788
1974,45196,1280.54,213853928
1975,44525,1327.66,215973199
1976,45523,1402.38,218035164
1977,47878,1467.03,220239425
1978,50331,1544.7,222584545
1979,51093,1529.13,225055487
1980,51091,1527.3,227224681
1981,49301,1552.8,229465714
1982,43945,1595.01,231664458
1983,42589,1652.79,233791994
1984,44257,1720.27,235824902
1985,43825,1774.18,237923795
1986,46087,1834.87,240132887
1987,46390,1921.2,242288918
1988,47087,2025.96,244498982
1989,45582,2096.46,246819230
1990,44599,2144.36,249464396
1991,41508,2172.05,252153092
1992,39250,2247.15,255029699
1993,40150,2296.38,257782608
1994,40716,2358,260327021
1995,41817,2423,262803276
1996,42065,2486,265228572
1997,42013,2562,267783607
1998,41501,2632,270248003
1999,41717,2691,272690813
2000,41945,2747,282216952
2001,42196,2797,285226284
2002,43005,2856,288125973
2003,42884,2890,290796023
2004,42836,2965,293638158
2005,43510,2989,296507061
2006,42708,3014,299398484
2007,41259,3031,301139947
2008,37423,2977,303824640
2009,33883,2957,306700000
2010,32999,2967,309326000
2011,32479,2950,311588000
2012,33782,2969,313914000
2013,32893,2988,316129000
2014,32744,3026,318860000
2015,35485,3095,321370000
2016,37461,,323121000
